strid,Lobith,Cologne,Kaub,Worms,Maxau,Basel
45,2558.4304486800384,2407.527463644872,1989.673140477677,1684.5603088073076,1474.716848832147,1243.8850358669913
46,1139.5089622121666,1086.7491616127695,924.4951247501864,824.0682637246329,747.2684111822398,659.5476499409099
47,1449.2876527963667,1375.1128752912916,1160.572558042063,1022.27712378733,913.9343077763514,795.6597137900047
48,1785.1269783448613,1686.5979299244782,1413.6717632875589,1223.3882062995451,1087.4982451865526,938.4203306041017
49,2140.6085292662356,2019.4564340688437,1680.357262421168,1439.2771523129736,1270.051069123478,1085.5753395336303
50,2529.349165689197,2385.8241163162565,1966.6686276957976,1666.0602281523672,1463.6952974566807,1239.9182863015435
51,1331.2081616428052,1269.628142290626,1079.6655032170795,964.8411134782784,871.8933200964452,751.3076610230889
52,1690.8882226080511,1609.3702163238513,1349.5058349315157,1189.969750986501,1064.9971760219253,902.0427194079238
53,2068.4687619595984,1956.1227352774356,1638.6379233629975,1426.1292359771476,1256.2444249300247,1055.5407008107518
54,2471.1442381447414,2328.5973451051705,1940.6415144832097,1662.290292225206,1453.210232632441,1208.9697584066057
55,2889.037436198354,2710.630172623316,2259.279952224477,1910.43691244796,1654.3741796413804,1361.0067540300518
56,1305.0993083788608,1245.9030609074089,1062.2675961247596,952.11792469485,863.0148330151076,751.8614071415697
57,1652.3640482639014,1573.3347717519764,1328.8177082239831,1173.982391898968,1052.960687544175,902.8557961941436
58,2024.57712940581,1917.7692967218543,1614.6398522740992,1402.3133954542675,1244.1810043737405,1057.7298567860266
59,2425.5197234545317,2283.040679103811,1907.747470900982,1641.343721865692,1441.5247309057015,1210.863498241023
60,2845.0211500938653,2670.550552024553,2224.155508059644,1887.860445239128,1640.7548568501045,1365.6870446268993
61,1277.522745970057,1221.0640755231343,1045.1423968463223,939.9014546125934,856.0294711336985,750.0061349837107
62,1621.246451860691,1537.64080425142,1305.9993007479156,1159.3822007061112,1041.893852644019,900.0001824155019
63,2013.5624522827902,1905.0278456764431,1608.771237521217,1410.8514444797083,1260.4027313866122,1074.2487308965142
64,2382.157337113829,2243.926200917139,1873.6970836062424,1623.2270844444713,1432.589172294083,1209.2802491156967
65,2800.0400273875543,2628.582580296341,2186.6764239866056,1868.4706237316095,1631.2619093614871,1366.2118561472696
66,1252.7664104838248,1197.389455380825,1027.8591500839088,922.9629283246612,844.8102529671812,743.5409123048471
67,1596.8182090692385,1512.8892243532716,1286.0992948463652,1137.5345420343729,1027.5523146666476,892.0951516426059
68,1962.0655860321217,1852.1534717034433,1559.935107735844,1360.8244811379743,1220.2942317675038,1048.074430420227
69,2349.306514721924,2213.3041879163293,1845.0636568841423,1598.3405146138346,1416.4127569855225,1203.2547072171424
70,2759.588134924734,2587.9468729439836,2154.221556884741,1842.7973505153848,1615.346392694148,1360.751094227202
71,1231.5032681564996,1175.163348904109,1010.8565360463532,911.2486518218832,830.9988519487683,733.618409435555
72,1571.7195773942233,1489.264999990188,1267.0591582719087,1120.9673874797168,1012.1835141216984,884.8215993922088
73,1928.2126532823395,1818.0177410556369,1535.4334911458457,1343.0545817402244,1203.9562734405258,1036.4376953747085
74,2317.4421465194578,2178.657436014784,1819.1306620112823,1574.8735463709982,1401.1905748629194,1193.067712308209
75,2727.4935846934213,2554.5128602749196,2128.550526331718,1817.695419683365,1599.875539286416,1351.2020738861524
76,1252.2860852174338,1194.31725849062,1033.985536629533,932.167270144774,848.1120242001896,734.9307762066406
77,1583.4920846417556,1511.180156391334,1291.3943696327178,1143.598841947915,1027.4316590956385,879.5917112959908
78,1941.181926396133,1842.6707984284096,1564.960582860984,1365.6756410452504,1212.1441618068693,1027.6964316696594
79,2331.205829548616,2198.7800499403215,1848.794239237684,1600.9132675459325,1406.6468902246568,1177.4332715442788
80,2750.7824517515987,2579.9653718336326,2159.2838634316,1843.730346518419,1604.190573131093,1328.3325198938014
